,compound,OQMD_id,OQMD_hf,DFT_hf,DFT_corrected_hf,POTCAR,SPIN
427,RbCeBr3,1718093,-1.80319884,-1.8196754400000001,-1.9930754400000001,pp_mismatch,Magnetic
428,RbCeCl3,1718070,-2.09648217,-2.0833405019999995,-2.2963405019999996,pp_mismatch,Magnetic
429,RbCeF3,1711912,-3.19862693,-3.3192354580000005,-3.4614354580000004,pp_mismatch,Magnetic
430,RbCeI3,1709292,-1.37177866,-1.4502159580000002,-1.549215958,pp_mismatch,Magnetic
431,RbCoBr3,1718050,-0.97847196,-0.7835372599999992,-0.9569372599999997,pp_match,Magnetic
432,RbCoCl3,1722733,-1.26470604,-1.0367051560000005,-1.249705156,pp_match,Magnetic
433,RbCoF3,1706436,-2.38426278,-2.2061360939999997,-2.3483360939999995,pp_match,Magnetic
434,RbCrBr3,1546707,-1.30104847,-1.1224761380000001,-1.2958761380000001,pp_mismatch,Magnetic
435,RbCrCl3,1432126,-1.6079849,-1.3937412410000003,-1.6067412410000004,pp_mismatch,Magnetic
436,RbCrF3,1430261,-2.71216129,-2.5660809330000007,-2.7082809330000006,pp_mismatch,Magnetic
437,RbCuBr3,1546603,-1.07269111,-0.8995637599999995,-1.07296376,pp_match,Non-magnetic
438,RbCuCl3,1549169,-1.30708466,-1.1017965479999998,-1.3147965479999995,pp_match,Non-magnetic
439,RbCuF3,1706466,-2.29966911,-2.1428442439999995,-2.2850442439999994,pp_match,Non-magnetic
440,RbCuI3,1432817,-0.716951,-0.6181204709999997,-0.7171204709999999,pp_match,Non-magnetic
441,RbDyBr3,1718040,-1.76727248,-1.5786591019999996,-1.752059102,pp_match,Magnetic
442,RbDyCl3,1718052,-2.08786317,-1.8634534019999998,-2.076453402,pp_match,Magnetic
443,RbDyF3,1706467,-3.24497634,-3.0940980440000003,-3.236298044,pp_match,Magnetic
444,RbDyI3,1711980,-1.310775,-1.196184422,-1.2951844220000002,pp_match,Magnetic
445,RbEuBr3,1718041,-2.21715541,-2.0358229799999994,-2.20922298,pp_match,Magnetic
446,RbEuCl3,1383413,-2.54788525,-2.3311983880000002,-2.544198388,pp_match,Magnetic
447,RbEuF3,1347264,-3.83374541,-3.6816839100000003,-3.82388391,pp_match,Magnetic
448,RbFeBr3,1546709,-1.10064079,-0.9078077920000003,-1.0812077920000003,pp_match,Magnetic
449,RbFeCl3,1549197,-1.40551705,-1.1769658759999997,-1.3899658759999998,pp_match,Magnetic
450,RbGaBr3,1543248,-1.3105318,-1.1093346659999996,-1.282734666,pp_match,Non-magnetic
451,RbGdBr3,1718011,-1.78674985,-1.599122098,-1.772522098,pp_match,Magnetic
452,RbGdCl3,1718077,-2.10188828,-1.8785197979999992,-2.0915197979999993,pp_match,Magnetic
453,RbGdF3,1706469,-3.24344324,-3.096169454000001,-3.2383694540000008,pp_match,Magnetic
454,RbGdI3,1711971,-1.33508955,-1.221660044,-1.3206600439999998,pp_match,Magnetic
455,RbGeBr3,1706478,-1.26864479,-1.0727322199999998,-1.2461322199999998,pp_match,Non-magnetic
456,RbGeCl3,1706479,-1.5126383,-1.281246806,-1.494246806,pp_match,Non-magnetic
457,RbGeF3,1709202,-2.57657388,-2.4044025280000003,-2.546602528,pp_match,Non-magnetic
458,RbGeI3,7217,-0.8852142,-0.7651216840000004,-0.8641216840000001,pp_match,Non-magnetic
459,RbHgBr3,1709211,-1.13005848,-0.9370484559999999,-1.0948484560000002,pp_match,Non-magnetic
460,RbHgCl3,1549160,-1.33286141,-1.1021878719999996,-1.2995878719999996,pp_match,Non-magnetic
461,RbHgF3,3032,-2.18316526,-2.0145723700000002,-2.14117237,pp_match,Non-magnetic
462,RbHgI3,1709289,-0.79833711,-0.682817346,-0.7662173459999999,pp_match,Non-magnetic
463,RbInBr3,1543207,-1.36295353,-1.1546811140000002,-1.3280811140000002,pp_match,Non-magnetic
464,RbLaBr3,1722786,-1.85151775,-1.6669852,-1.8403852000000005,pp_match,Magnetic
465,RbLaCl3,1718073,-2.14295349,-1.9247514840000002,-2.137751484,pp_match,Magnetic
466,RbLaF3,1709283,-3.29484287,-3.1396000400000004,-3.2818000400000003,pp_match,Magnetic
467,RbLaI3,1709300,-1.41599033,-1.306776326,-1.4057763260000002,pp_match,Magnetic
468,RbMgBr3,1713245,-1.7756388,-1.5947179019999997,-1.7681179020000002,pp_match,Non-magnetic
469,RbMgCl3,1710601,-2.12816114,-1.910410932,-2.1234109319999996,pp_match,Non-magnetic
470,RbMgF3,646367,-3.48619176,-3.3241415060000006,-3.4663415060000005,pp_match,Non-magnetic
471,RbMnBr3,1575055,-1.36606544,-1.1809480819999991,-1.3543480819999996,pp_mismatch,Magnetic
472,RbMnCl3,1549204,-1.67161458,-1.4513380919999999,-1.664338092,pp_mismatch,Magnetic
473,RbMnF3,8202,-2.81456109,-2.641066332,-2.7832663319999997,pp_mismatch,Magnetic
474,RbMnI3,1709301,-0.91681844,-0.8068317040000004,-0.9058317040000006,pp_mismatch,Magnetic
475,RbMoBr3,1718096,-0.90211766,-0.7418462440000004,-0.9152462440000004,pp_mismatch,Magnetic
476,RbMoCl3,1718074,-1.17469063,-0.9809993959999996,-1.1939993959999997,pp_mismatch,Magnetic
477,RbMoF3,1711913,-2.06222983,-1.9912720099999999,-2.1334720099999998,pp_mismatch,Magnetic
478,RbMoI3,1709295,-0.5093627,-0.4209518840000004,-0.5199518840000001,pp_mismatch,Magnetic
479,RbNdBr3,1714548,-1.80322795,-1.6177407000000001,-1.7911407000000001,pp_match,Magnetic
480,RbNdCl3,1714549,-2.1051101,-1.8836660320000003,-2.0966660320000003,pp_match,Magnetic
481,RbNdF3,1706473,-3.24460312,-3.076433646,-3.218633646,pp_match,Magnetic
482,RbNdI3,1709290,-1.36459031,-1.253799452,-1.3527994519999997,pp_match,Magnetic
483,RbNiBr3,1548752,-1.04554736,-0.8457388859999999,-1.019138886,pp_match,Magnetic
484,RbNiCl3,1575618,-1.2942717,-1.0599477279999996,-1.2729477279999997,pp_match,Magnetic
485,RbNiF3,1386028,-2.33634074,-2.1738404399999998,-2.3160404399999996,pp_match,Magnetic
486,RbPbBr3,1709260,-1.44301872,-1.2391867259999998,-1.4125867260000002,pp_match,Non-magnetic
487,RbPbCl3,1386719,-1.68675001,-1.4469813999999994,-1.6599813999999995,pp_match,Non-magnetic
488,RbPbF3,646371,-2.72234407,-2.536467698,-2.678667698,pp_match,Non-magnetic
489,RbPbI3,1709296,-1.05532349,-0.927592572,-1.0265925719999998,pp_match,Non-magnetic
490,RbPdBr3,1431731,-1.10339077,-0.9346215399999998,-1.1080215400000002,pp_match,Non-magnetic
491,RbPdCl3,1549216,-1.30220725,-1.0998468080000001,-1.3128468079999998,pp_match,Non-magnetic
492,RbPdF3,13107,-2.09620147,-1.94718373,-2.0893837299999998,pp_match,Non-magnetic
493,RbPdI3,1722703,-0.81259372,-0.7181949760000004,-0.8171949760000006,pp_match,Non-magnetic
494,RbPrBr3,1718012,-1.80431341,-1.6200903839999996,-1.7934903839999996,pp_match,Magnetic
495,RbPrCl3,1718075,-2.10220577,-1.8822791639999998,-2.095279164,pp_match,Magnetic
496,RbPrF3,1706471,-3.21881339,-3.0687516640000005,-3.2109516640000004,pp_match,Magnetic
497,RbPrI3,1709302,-1.36927963,-1.2596946459999998,-1.3586946459999996,pp_match,Magnetic
498,RbPtCl3,1722734,-1.16033474,-0.9576229779999994,-1.1706229779999995,pp_match,Magnetic
499,RbPtF3,1706399,-1.81204108,-1.6733829419999995,-1.8155829419999994,pp_match,Magnetic
500,RbPtI3,1711981,-0.71440908,-0.6185091059999999,-0.7175091060000001,pp_match,Magnetic
501,RbRhBr3,1718042,-0.97217997,-0.7851068599999995,-0.95850686,pp_mismatch,Magnetic
502,RbRhF3,1706472,-2.03291909,-1.8651257899999996,-2.0073257899999994,pp_mismatch,Magnetic
503,RbRhI3,1711972,-0.66828605,-0.5520949339999999,-0.6510949340000001,pp_mismatch,Magnetic
504,RbScBr3,1575112,-1.7638267,-1.5742122519999997,-1.7476122519999997,pp_match,Magnetic
505,RbSmBr3,1718043,-1.79635941,-1.6056652639999998,-1.7790652640000002,pp_match,Magnetic
506,RbSmCl3,1709270,-2.10436711,-1.8782862679999996,-2.0912862679999997,pp_match,Magnetic
507,RbSmF3,1706437,-3.23292432,-3.081956058,-3.2241560579999997,pp_match,Magnetic
508,RbSmI3,1711982,-1.35149143,-1.2354401139999998,-1.3344401139999997,pp_match,Magnetic
509,RbSnBr3,1383319,-1.39499112,-1.17043101,-1.36623101,pp_match,Non-magnetic
510,RbSnCl3,1432128,-1.63339416,-1.3728353439999994,-1.6082353439999997,pp_match,Non-magnetic
511,RbSnF3,1576182,-2.65490067,-2.4822889220000004,-2.6468889220000005,pp_match,Non-magnetic
512,RbSnI3,1706480,-1.01484446,-0.8648058840000001,-0.9862058839999999,pp_match,Non-magnetic
513,RbSrBr3,1718010,-2.15056883,-1.9654340279999996,-2.1388340279999998,pp_match,Non-magnetic
514,RbSrCl3,1385302,-2.45802113,-2.2380823639999994,-2.4510823639999995,pp_match,Non-magnetic
515,RbSrF3,1344546,-3.5850041,-3.447632414,-3.589832414,pp_match,Non-magnetic
516,RbTiCl3,1725961,-1.8231929,-1.6124375899999999,-1.8382375900000003,pp_mismatch,Magnetic
517,RbTiF3,1706438,-3.01812214,-2.860358454,-3.0153584540000002,pp_mismatch,Magnetic
518,RbTiI3,1711973,-1.00666474,-0.9043961180000002,-1.0161961180000003,pp_mismatch,Magnetic
519,RbTmBr3,1718068,-1.7273336,-1.5525699699999995,-1.72596997,pp_match,Magnetic
520,RbTmCl3,1285831,-2.0561792,-1.8454249099999998,-2.05842491,pp_match,Magnetic
521,RbTmF3,1706439,-3.24498824,-3.1044617780000006,-3.2466617780000004,pp_match,Magnetic
522,RbTmI3,1711974,-1.2624683,-1.1624265139999999,-1.2614265139999998,pp_match,Magnetic
523,RbVBr3,1711914,-1.31049581,-1.1516058979999992,-1.3250058979999997,pp_mismatch,Magnetic
524,RbVCl3,1575647,-1.64156435,-1.4478349179999994,-1.6608349179999995,pp_mismatch,Magnetic
525,RbVF3,5466,-2.84527792,-2.6969450380000004,-2.8391450380000003,pp_mismatch,Magnetic
526,RbVI3,1718005,-0.85050861,-0.7650696040000002,-0.864069604,pp_mismatch,Magnetic
527,RbYI3,1711975,-1.33046037,-1.2280364020000003,-1.327036402,pp_match,Magnetic
528,RbYbBr3,1709182,-2.17972053,-1.9937567080000003,-2.1671567080000003,pp_match,Non-magnetic
529,RbYbCl3,1709268,-2.52713825,-2.306106434,-2.5191064340000002,pp_match,Non-magnetic
530,RbYbF3,646370,-3.87580627,-3.7170509340000004,-3.8592509340000003,pp_match,Non-magnetic
531,RbYbI3,1718078,-1.67371742,-1.5608066260000002,-1.659806626,pp_match,Non-magnetic
532,RbZnBr3,1718051,-1.34668161,-1.1362013219999998,-1.3096013220000002,pp_match,Non-magnetic
533,RbZnCl3,1718076,-1.63574811,-1.3892970479999995,-1.6022970479999996,pp_match,Non-magnetic
534,RbZnF3,1250674,-2.76725137,-2.573095870000001,-2.7152958700000007,pp_match,Non-magnetic
535,RbZnI3,1711976,-0.91969091,-0.7853867160000001,-0.8843867160000001,pp_match,Non-magnetic
536,SmLiF3,1713548,-3.22566136,-3.064157226,-3.2063572259999997,pp_match,Magnetic
537,SnLiF3,1713549,-2.67178938,-2.4790908620000005,-2.643690862,pp_match,Non-magnetic
538,SrAgF3,1726026,-2.40136009,-2.2423509800000003,-2.38455098,pp_match,Non-magnetic
