,compound,OQMD_id,OQMD_hf,DFT_hf,DFT_corrected_hf,POTCAR,SPIN
253,KCdBr3,1713243,-1.36411395,-1.1476473859999998,-1.321047386,pp_match,Non-magnetic
254,KCdCl3,1710598,-1.63026201,-1.3768896019999999,-1.5898896019999997,pp_match,Non-magnetic
255,KCdF3,646151,-2.65539855,-2.4333646360000003,-2.575564636,pp_match,Non-magnetic
256,KCdI3,1722772,-0.95543998,-0.8153787159999999,-0.9143787159999999,pp_match,Non-magnetic
257,KCeF3,1711908,-3.2027046,-3.2842725199999996,-3.4264725199999995,pp_mismatch,Magnetic
258,KCeI3,1722773,-1.32339743,-1.4009105800000006,-1.49991058,pp_mismatch,Magnetic
259,KCoBr3,1548970,-0.95912123,-0.7647149099999999,-0.9381149100000004,pp_match,Magnetic
260,KCoCl3,1432015,-1.25386027,-0.9463245410000005,-1.1593245410000002,pp_match,Non-magnetic
261,KCoF3,1576223,-2.39239904,-2.195504402,-2.337704402,pp_match,Magnetic
262,KCoI3,1722774,-0.55058578,-0.4301871700000004,-0.5291871700000002,pp_match,Magnetic
263,KCrBr3,1546856,-1.27746221,-1.0928230820000002,-1.2662230820000002,pp_mismatch,Magnetic
264,KCrCl3,1432020,-1.5914397,-0.9164956690000001,-1.1294956690000002,pp_mismatch,Non-magnetic
265,KCrF3,1429999,-2.72860093,-2.162084390000001,-2.3042843900000007,pp_mismatch,Non-magnetic
266,KCuBr3,1548959,-1.0545198,-0.8782491459999997,-1.0516491460000001,pp_mismatch,Non-magnetic
