,correct_formula,lat_bvm,lat_opt,hf_opt,A,A',B,B',X,bvm_oqmd_lat_err
212,CsK_CaSnCl6,7.806317443,7.830600503,-2.022424467,Cs,K,Ca,Sn,Cl,-0.310104697
213,CsK_CaSnF6,6.440257852,6.575113602,-3.152525067,Cs,K,Ca,Sn,F,-2.051002586
214,CsK_CaSrF6,6.553394937,6.587029223,-3.634193595,Cs,K,Ca,Sr,F,-0.510613888
215,CsK_CaTiCl6,7.694665282,7.422212251,-2.1308588,Cs,K,Ca,Ti,Cl,3.670779301
216,CsK_CdPbCl6,7.377881444,7.776902654,-1.651181616,Cs,K,Cd,Pb,Cl,-5.130850002
217,CsK_CdPtF6,6.24085374,6.359301386,-2.177624057,Cs,K,Cd,Pt,F,-1.862588967
218,CsK_CdSnCl6,7.234975164,7.708727294,-1.622794071,Cs,K,Cd,Sn,Cl,-6.145659483
219,CsK_CoAgCl6,7.19184165,7.097495599,-1.304847668,Cs,K,Co,Ag,Cl,1.329286502
220,CsK_CoAuCl6,7.146586816,7.075287111,-1.200701665,Cs,K,Co,Au,Cl,1.007728787
221,CsK_CoBaCl6,7.749819611,7.698465247,-1.845624878,Cs,K,Co,Ba,Cl,0.667072752
222,CsK_CoPbCl6,7.540516004,7.497979662,-1.471355523,Cs,K,Co,Pb,Cl,0.567304046
223,CsK_CoPbF6,6.328534981,6.37891694,-2.508242917,Cs,K,Co,Pb,F,-0.789819956
224,CsK_CoPtF6,6.025893279,6.091930406,-2.058750545,Cs,K,Co,Pt,F,-1.084009872
225,CsK_CoRbF6,6.541303411,6.522603743,-2.609235102,Cs,K,Co,Rb,F,0.286690235
226,CsK_CoSnF6,6.222468964,6.313991454,-2.487983174,Cs,K,Co,Sn,F,-1.44951875
227,CsK_CoSrCl6,7.51506016,7.494545596,-1.861670033,Cs,K,Co,Sr,Cl,0.273726589
228,CsK_CoSrF6,6.315807059,6.327256977,-2.965359861,Cs,K,Co,Sr,F,-0.180961798
229,CsK_CrAgCl6,7.214469067,7.237180735,-1.546260809,Cs,K,Cr,Ag,Cl,-0.313819273
230,CsK_CrAuCl6,7.166385806,7.225747082,-1.423719825,Cs,K,Cr,Au,Cl,-0.821524409
231,CsK_CrBaCl6,7.827601357,7.782910595,-1.979563657,Cs,K,Cr,Ba,Cl,0.574216567
232,CsK_CrCdF6,6.232368459,6.245461371,-2.661205665,Cs,K,Cr,Cd,F,-0.209638828
233,CsK_CrCoF6,6.020236424,5.961237,-2.521381921,Cs,K,Cr,Co,F,0.989717805
234,CsK_CrFeCl6,7.092210305,7.07340879,-1.46759118,Cs,K,Cr,Fe,Cl,0.265805576
235,CsK_CrMnCl6,6.902705687,7.164665741,-1.611989277,Cs,K,Cr,Mn,Cl,-3.656277396
236,CsK_CrMnF6,6.130545082,6.072684779,-2.708514451,Cs,K,Cr,Mn,F,0.952796088
237,CsK_CrSnCl6,7.444278771,7.496597108,-1.594955209,Cs,K,Cr,Sn,Cl,-0.697894475
238,CsK_CrSnF6,6.250753235,6.373753464,-2.65442212,Cs,K,Cr,Sn,F,-1.929792699
239,CsK_CrSrCl6,7.587185051,7.576765814,-1.995673683,Cs,K,Cr,Sr,Cl,0.137515627
240,CsK_CrZnF6,6.008922716,6.006562423,-2.670827397,Cs,K,Cr,Zn,F,0.039295238
