,correct_formula,A,A',B,B',X,lat_bvm,lat_opt,lat_err,hf_opt,pbe_bg
21,Cs2CaZnCl6,Cs,Cs,Ca,Zn,Cl,7.363739309,7.440795181,-1.035586522,-2.067394465,3.754204
22,Cs2CaZnF6,Cs,Cs,Ca,Zn,F,6.223883177,6.2571482,-0.531632334,-3.191174987,5.728734
23,Cs2CdBaCl6,Cs,Cs,Cd,Ba,Cl,7.595670333,8.016040339,-5.244110411,-2.081619077,4.169512
24,Cs2CdPbBr6,Cs,Cs,Cd,Pb,Br,7.608398255,8.209288115,-7.319634195,-1.449476976,1.896816
25,Cs2CdSnBr6,Cs,Cs,Cd,Sn,Br,7.499503811,8.142867853,-7.900951527,-1.422477733,1.295923
26,Cs2CdSnF6,Cs,Cs,Cd,Sn,F,6.547738083,6.617685549,-1.056977783,-2.667656756,2.82226
27,Cs2CoAuCl6,Cs,Cs,Co,Au,Cl,7.256895474,7.145326549,1.561425139,-1.21957421,0
28,Cs2CoBaCl6,Cs,Cs,Co,Ba,Cl,7.758304893,7.741612505,0.215619007,-1.893022924,0.003998
29,Cs2CoPbF6,Cs,Cs,Co,Pb,F,6.385103523,6.445740494,-0.940729324,-2.526510977,0.002021
30,Cs2CoSrCl6,Cs,Cs,Co,Sr,Cl,7.537687577,7.548194667,-0.13920004,-1.90159706,0.004837
31,Cs2CoSrF6,Cs,Cs,Co,Sr,F,6.375204028,6.397267415,-0.344887677,-2.981832455,0
32,Cs2CrBaI6,Cs,Cs,Cr,Ba,I,8.99574176,8.838958966,1.773769904,-1.304563864,0.017979
33,Cs2CrFeF6,Cs,Cs,Cr,Fe,F,6.139030364,6.10797906,0.508372797,-2.53175527,0
34,Cs2CrPbF6,Cs,Cs,Cr,Pb,F,6.413387795,6.499614632,-1.326645376,-2.697932239,0
35,Cs2CrPtF6,Cs,Cs,Cr,Pt,F,6.158829353,6.277957696,-1.89756524,-2.301650409,0
36,Cs2CrRbCl6,Cs,Cs,Cr,Rb,Cl,7.862178879,7.785357991,0.98673546,-1.885565942,1.597836
37,Cs2CrSnBr6,Cs,Cs,Cr,Sn,Br,7.850228774,7.943075754,-1.168904627,-1.366995453,0
38,Cs2CrSrF6,Cs,Cs,Cr,Sr,F,6.4034883,6.462542455,-0.913791366,-3.135787555,0.011701
39,Cs2CuBaBr6,Cs,Cs,Cu,Ba,Br,7.974679568,8.159944314,-2.270416793,-1.603352715,0.060692
40,Cs2CuBiBr6,Cs,Cs,Cu,Bi,Br,7.442157451,7.903843839,-5.841289345,-1.281243779,0.741862
41,Cs2CuBiCl6,Cs,Cs,Cu,Bi,Cl,7.248410193,7.511531779,-3.502901855,-1.521261191,1.015185
42,Cs2CuCdCl6,Cs,Cs,Cu,Cd,Cl,7.029984908,7.294271092,-3.623202108,-1.469126956,0.072453
43,Cs2CuCdF6,Cs,Cs,Cu,Cd,F,6.246510594,6.222706521,0.382535685,-2.411932226,0.029082
44,Cs2CuMoF6,Cs,Cs,Cu,Mo,F,6.21058957,6.277807113,-1.070716921,-2.445836925,1.399306
45,Cs2CuPbBr6,Cs,Cs,Cu,Pb,Br,7.693251069,7.897726148,-2.58903734,-1.286951966,0.09743
46,Cs2CuPbCl6,Cs,Cs,Cu,Pb,Cl,7.522131228,7.49972668,0.298738193,-1.526229231,0.099495
47,Cs2CuSbF6,Cs,Cs,Cu,Sb,F,6.375840425,6.438528755,-0.973643706,-2.451738365,1.187772
48,Cs2CuSnBr6,Cs,Cs,Cu,Sn,Br,7.573042916,7.802824551,-2.944852002,-1.295138569,0.158426
49,Cs2CuSnF6,Cs,Cs,Cu,Sn,F,6.262066944,6.348578407,-1.362690314,-2.490232239,0.137302
50,Cs2CuSrCl6,Cs,Cs,Cu,Sr,Cl,7.499503811,7.55786193,-0.772151166,-1.869938284,0.040047
51,Cs2CuZnF6,Cs,Cs,Cu,Zn,F,6.09377553,6.051424645,0.699849829,-2.412970805,0.031754
52,Cs2FeAgF6,Cs,Cs,Fe,Ag,F,6.353213008,6.354167218,-0.015017074,-2.465174375,0.94226
53,Cs2FeCdCl6,Cs,Cs,Fe,Cd,Cl,7.061097606,7.341425296,-3.818436866,-1.530103806,0
54,Cs2FeCdF6,Cs,Cs,Fe,Cd,F,6.288937001,6.266911045,0.351464315,-2.545808529,0.000537
55,Cs2FePbBr6,Cs,Cs,Fe,Pb,Br,7.942152656,7.993619744,-0.643852093,-1.30103745,0
56,Cs2FePtF6,Cs,Cs,Fe,Pt,F,6.144687218,6.247946626,-1.652693504,-2.150257212,0
57,Cs2FeSrBr6,Cs,Cs,Fe,Sr,Br,8.005792266,8.011123642,-0.066549666,-1.659956557,0
58,Cs2FeSrCl6,Cs,Cs,Fe,Sr,Cl,7.570214489,7.594962683,-0.325850107,-1.961305621,0.003307
59,Cs2FeSrF6,Cs,Cs,Fe,Sr,F,6.38368931,6.437755208,-0.839825316,-3.051349915,0.004871
60,Cs2FeZnF6,Cs,Cs,Fe,Zn,F,6.113574519,6.086556951,0.443889184,-2.547628848,0
61,Cs2GaRbCl6,Cs,Cs,Ga,Rb,Cl,7.848036743,7.838391832,0.123047064,-1.855851172,3.332762
62,Cs2GaRbI6,Cs,Cs,Ga,Rb,I,8.897383206,8.935014175,-0.421162947,-1.135362795,0.956032
63,Cs2InAuCl6,Cs,Cs,In,Au,Cl,7.39831683,7.52716391,-1.711761316,-1.460907117,0.113593
64,Cs2K_BiF6,Cs,Cs,K,Bi,F,6.81848927,6.902772838,-1.22101031,-2.885718637,4.959152
