correct_formula,lat_bvm,lat_opt,hf_opt,lat_err
CsRbNaScF6,6.259874912,6.266875645,-3.539753171,-0.111710098
Cs2SrBaF6,7.020085413,7.04701183,-3.582896268,-0.382096953
RbK_CaCdF6,6.379446669,6.342477595,-3.147811156,0.582880646
K_2CrMnF6,5.997609007,5.968547206,-2.731538443,0.486915832
CsRbBeTiF6,6.19701312,5.806064383,-2.933568663,6.733455066
Cs2TiAgCl6,7.403973684,7.403143814,-1.764608835,0.011209704
CsRbMnPbCl6,7.261915932,7.638604222,-1.693257047,-4.931375928
CsK_CaSrCl6,7.966194286,7.874742711,-2.458501814,1.16132778
Cs2MnSnBr6,7.417479424,8.002569229,-1.415437215,-7.311274522
RbK_CuAgCl6,7.135273108,7.083053925,-1.280589635,0.737241075
CsK_AlAgF6,6.155223109,6.148696098,-2.990269023,0.106152759
CsK_NaBiBr6,8.137950523,8.188456095,-1.521275828,-0.616789921
K_2TiZnF6,6.399245659,5.922234052,-2.859128905,8.054588909
CsK_NiBaF6,6.455814202,6.497914389,-2.91693187,-0.64790308
CsRbBeBaF6,6.230954245,6.246489254,-3.276142206,-0.248699839
CsRbMgCdCl6,7.004529064,7.354767805,-1.888955422,-4.762063888
Rb2CaCuF6,6.051349123,6.119252228,-2.932594884,-1.109663451
K_2NiPtF6,5.793962254,5.968148838,-2.089294927,-2.918603219
