,compound,OQMD_id,OQMD_hf,DFT_hf,hf_partial_cor,hf_full_cor,error
99,CsMgI3,1711869,-1.32294597,-1.221384708,-1.3203847079999997,-1.354984708,-0.03203873800000001
100,CsMnBr3,1709199,-1.39770903,-1.2183327160000004,-1.3917327160000008,-1.4301327160000006,-0.03242368600000067
101,CsMnCl3,1709222,-1.68987226,-1.4737996179999997,-1.6867996179999998,-1.7263996179999999,-0.03652735799999984
102,CsMnF3,1346348,-2.78126189,-1.964998112,-2.107198112,-2.146798112,0.6344637780000002
103,CsMoBr3,1711882,-0.93988624,-0.7780743460000004,-0.9514743460000004,-0.9494743460000006,-0.009588106000000596
104,CsMoCl3,1709263,-1.20440657,-1.0085488499999995,-1.2215488499999996,-1.2207488499999997,-0.01634227999999971
105,CsMoF3,1711954,-2.13958089,-1.984174646,-2.126374646,-2.125574646,0.014006243999999946
106,CsMoI3,1718069,-0.55576935,-0.4674955280000006,-0.5664955279999999,-0.5614955280000005,-0.005726178000000415
107,CsNdCl3,1706445,-2.15878748,-1.9417157839999994,-2.1547157839999995,-2.1817157839999997,-0.022928303999999677
108,CsNdF3,1706447,-3.23866366,-3.0559239500000004,-3.1981239500000003,-3.22512395,0.013539709999999872
109,CsNiBr3,1575196,-1.04922416,-0.8534464259999996,-1.026846426,-1.035446426,0.013777734000000041
110,CsNiCl3,1709264,-1.27622654,-1.0462448259999997,-1.2592448259999998,-1.269044826,0.007181713999999895
111,CsPbBr3,5672,-1.50140142,-1.3026501919999998,-1.4760501919999998,-1.4392501919999998,0.06215122800000028
112,CsPbCl3,5671,-1.74367291,-1.5085243780000002,-1.7215243780000002,-1.6859243780000002,0.05774853199999974
113,CsPbI3,20436,-1.11882425,-0.99561777,-1.0946177699999997,-1.0548177699999997,0.06400648000000042
114,CsPdBr3,1489054,-1.12554959,-0.9617025560000001,-1.1351025560000003,-1.143702556,-0.018152965999999937
115,CsPdCl3,1575826,-1.31032552,-1.1120771440000001,-1.3250771440000002,-1.334877144,-0.024551624000000105
116,CsPdF3,1440780,-2.06364637,-1.9039001080000002,-2.046100108,-2.0559001079999994,0.007746262000000392
117,CsPdI3,1709174,-0.84730554,-0.7575472800000003,-0.85654728,-0.8621472799999998,-0.014841739999999826
118,CsPrBr3,1706407,-1.86257389,-1.6823830860000002,-1.8557830860000002,-1.8979830860000002,-0.035409196000000254
119,CsPrCl3,1706454,-2.15756142,-1.9416315480000002,-2.1546315480000002,-2.1980315480000003,-0.04047012800000038
120,CsPrF3,1706464,-3.2157687,-3.034147554,-3.176347554,-3.2197475539999996,-0.003978853999999643
121,CsPrI3,1714547,-1.43259966,-1.3282266540000007,-1.4272266540000003,-1.4664266540000004,-0.03382699400000044
122,CsPtBr3,1709209,-0.99954874,-0.8343094939999998,-1.0077094940000002,-0.9991094939999998,0.0004392460000002263
123,CsPtF3,1709201,-1.82560815,-1.6590609619999999,-1.8012609619999997,-1.7938609620000001,0.03174718799999998
124,CsPtI3,1718049,-0.74809156,-0.6573742080000002,-0.756374208,-0.7447742080000004,0.003317351999999607
125,CsRhBr3,1706423,-0.98836647,-0.8067407719999999,-0.9801407719999999,-0.9827407720000001,0.005625697999999901
126,CsRhCl3,1549370,-1.20290089,-0.9874253019999997,-1.2004253019999997,-1.2042253019999998,-0.001324411999999775
127,CsRhI3,1706398,-0.69763335,-0.5883852120000004,-0.6873852120000001,-0.6869852120000002,0.010648137999999863
128,CsSmBr3,1706424,-1.85125178,-1.6646935920000003,-1.8380935920000003,-1.8724935920000003,-0.021241812000000415
129,CsSmCl3,6024,-2.15552289,-1.9334002039999993,-2.1464002039999994,-2.1820002039999995,-0.02647731399999964
130,CsSmF3,1706459,-3.2219087,-3.034775314,-3.176975314,-3.2125753139999995,0.009333386000000665
131,CsSnBr3,2352,-1.45056354,-1.2308834440000003,-1.4266834440000005,-1.4306834440000002,0.019880095999999847
132,CsSnCl3,5451,-1.68660515,-1.4304913619999997,-1.6658913619999995,-1.6710913619999996,0.015513788000000472
133,CsSnF3,1547166,-2.69887685,-2.4757957940000006,-2.6403957940000002,-2.645595794,0.05328105599999988
134,CsSnI3,12694,-1.07516857,-0.9308857400000004,-1.0522857399999999,-1.05328574,0.02188283000000002
135,CsSrBr3,1346547,-2.21029805,-2.0297236919999997,-2.203123692,-2.242523692,-0.03222564199999978
136,CsSrCl3,1709271,-2.51533167,-2.29864738,-2.51164738,-2.55224738,-0.03691570999999971
137,CsSrF3,646362,-3.65153321,-3.467474908,-3.6096749079999997,-3.6502749079999997,0.001258302000000544
138,CsTiCl3,1711935,-1.83998443,-1.630805948,-1.856605948,-1.872405948,-0.03242151800000004
139,CsTiF3,1706465,-2.98391523,-2.797313174000001,-2.9523131740000004,-2.9681131740000004,0.01580205599999962
