compound,OQMD_id,OQMD_hf,DFT_hf,hf_partial_cor,hf_full_cor,error
KLaCl3,1725957,-2.10525631,-1.879163866,-2.092163866,-2.100963866,0.004292444
RbZnCl3,1718076,-1.63574811,-1.388444994,-1.601444994,-1.631244994,0.004503116
KVF3,5465,-2.85942374,-2.690502252,-2.832702252,-2.854902252,0.004521488
InPdCl3,1722704,-0.80835465,-0.580948138,-0.793948138,-0.803748138,0.004606512
InCrCl3,1549478,-1.11470522,-0.873962938,-1.086962938,-1.109762938,0.004942282
RbPtCl3,1722734,-1.16033474,-0.955497616,-1.168497616,-1.155297616,0.005037124
RbVF3,5466,-2.84527792,-2.681428544,-2.823628544,-2.840228544,0.005049376
KYF3,1713421,-3.25854709,-3.09460706,-3.23680706,-3.25340706,0.00514003
InTmCl3,1711937,-1.6273505,-1.390488584,-1.603488584,-1.622088584,0.005261916
RbMoI3,1709295,-0.5093627,-0.41564343,-0.51464343,-0.50384343,0.00551927
RbLaCl3,1718073,-2.14295349,-1.921162676,-2.134162676,-2.137362676,0.005590814
CsRhBr3,1706423,-0.98836647,-0.806740772,-0.980140772,-0.982740772,0.005625698
RbPrF3,1706471,-3.21881339,-3.032953302,-3.175153302,-3.212753302,0.006060088
KCoBr3,1548970,-0.95912123,-0.76471491,-0.93811491,-0.95291491,0.00620632
KInBr3,1575328,-1.32271507,-1.108329676,-1.281729676,-1.316329676,0.006385394
NaGeI3,1711978,-0.6698081,-0.534780436,-0.651980436,-0.662980436,0.006827664
CsNiCl3,1709264,-1.27622654,-1.046244826,-1.259244826,-1.269044826,0.007181714
KZnBr3,1713482,-1.32095785,-1.106053184,-1.279453184,-1.313653184,0.007304666
RbCoBr3,1718050,-0.97847196,-0.788493794,-0.961893794,-0.971093794,0.007378166
RbInBr3,1543207,-1.36295353,-1.153099318,-1.326499318,-1.355499318,0.007454212
CsCuF3,1576135,-2.20542233,-2.040699824,-2.182899824,-2.197899824,0.007522506
InSmBr3,1728495,-1.34227806,-1.126924752,-1.300324752,-1.334724752,0.007553308
CsPdF3,1440780,-2.06364637,-1.903900108,-2.046100108,-2.055900108,0.007746262
RbZnBr3,1718051,-1.34668161,-1.13619758,-1.30959758,-1.33819758,0.00848403
