correct_formula,lat_bvm,lat_opt,hf_bvm,hf_opt,bvm_oqmd_lat_err
K_PdI3,5.533,5.627191643,-0.770285322,-0.77915903,-1.673865917
HgPtF3,4.173,4.311786909,-0.891344532,-0.934283184,-3.218779405
RbCuCl3,4.813,4.909120624,-1.304641562,-1.314666254,-1.958000859
CuZnI3,5.533,5.60768287,0.24334245,0.239112768,-1.331795534
AuPdF3,4.293,4.220059441,-0.869956334,-0.879545458,1.72842492
InSrF3,4.851,4.772563208,-3.04331871,-3.049730902,1.643494043
K_SnBr3,5.813,5.850354527,-1.315512884,-1.316413882,-0.638500228
HgCoF3,4.093,4.107501677,-1.450451306,-1.45088916,-0.353053465
K_PtCl3,4.913,4.977069698,-1.141915688,-1.147752144,-1.287297584
InSrCl3,5.833,5.67089219,-1.88280083,-1.898720938,2.85859446
AuZnBr3,5.113,5.158186588,-0.133901526,-0.135923634,-0.876016934
NaPtF3,4.173,4.338018047,-1.603477984,-1.660497384,-3.803996323
HgCdF3,4.621,4.442971103,-1.639912774,-1.680922432,4.006978503
InSnF3,4.663,4.722941001,-2.09771361,-2.101840716,-1.269145666
